name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
Daewoo Rezzo,daewoo,2003,200000.0,89.0,121.0,Gasoline,9.0,236.0,Manual,Germany,0,,unknown,unknown,199.0
Volkswagen Golf,volkswagen,1994,222275.0,55.0,75.0,Gasoline,0.0,0.0,Manual,Germany,0,,unknown,unknown,200.0
Ford Fiesta,ford,2001,153000.0,44.0,60.0,Gasoline,7.3,171.0,Manual,Germany,0,,unknown,unknown,290.0
Volkswagen Polo,volkswagen,1999,154000.0,44.0,60.0,Gasoline,6.3,151.0,Manual,Germany,0,,unknown,unknown,350.0
Nissan Micra,nissan,1998,140000.0,40.0,54.0,Gasoline,6.0,152.0,Manual,Germany,0,,unknown,unknown,380.0
Opel Omega,opel,1995,186675.0,85.0,116.0,Gasoline,,,Manual,Germany,0,,unknown,unknown,400.0
Ford Mondeo,ford,1999,170000.0,96.0,131.0,Gasoline,8.0,192.0,Automatic,Germany,0,,unknown,unknown,450.0
Mitsubishi Carisma,mitsubishi,2003,200000.0,76.0,103.0,Gasoline,7.4,174.0,Manual,Germany,0,,unknown,unknown,450.0
Ford Focus,ford,1999,200900.0,74.0,101.0,Gasoline,7.0,166.0,Manual,Germany,0,,unknown,unknown,490.0
Opel Vectra,opel,1998,199890.0,74.0,101.0,Gasoline,,,Manual,Germany,0,,unknown,unknown,490.0
Ford Fiesta,ford,2000,189137.0,55.0,75.0,Gasoline,,,Manual,Germany,0,,unknown,unknown,499.0
Renault Clio,renault,2004,186500.0,55.0,75.0,Gasoline,5.9,139.0,Manual,Germany,0,,unknown,unknown,500.0
Audi A4,audi,1996,195000.0,74.0,101.0,Gasoline,,,Manual,Germany,0,,unknown,unknown,590.0
Fiat Stilo,fiat,2002,121000.0,76.0,103.0,Gasoline,7.5,179.0,Manual,Germany,0,,unknown,unknown,600.0
Audi A4,audi,1997,147900.0,92.0,125.0,Gasoline,8.5,204.0,Manual,Germany,0,,unknown,unknown,649.0
BMW 320,bmw,1999,312983.0,100.0,136.0,Diesel,,,Manual,Germany,0,,unknown,unknown,699.0
Saab 9-5,saab,2001,208000.0,110.0,150.0,Gasoline,9.3,223.0,Manual,Germany,0,,unknown,unknown,700.0
Skoda Octavia,skoda,2003,189000.0,75.0,102.0,Gasoline,7.2,173.0,Manual,Germany,0,,unknown,unknown,799.0
Opel Agila,opel,2005,160000.0,59.0,80.0,Gasoline,6.0,144.0,Manual,Germany,0,,unknown,unknown,890.0
Volkswagen Lupo,volkswagen,2000,128970.0,37.0,50.0,Gasoline,6.4,154.0,Manual,Germany,0,,unknown,unknown,950.0
Ford Ka/Ka+,ford,2006,103680.0,44.0,60.0,Gasoline,6.8,165.0,Manual,Germany,0,,unknown,unknown,950.0
Mercedes-Benz A 140,mercedes-benz,2004,169000.0,60.0,82.0,Gasoline,7.1,168.0,Manual,Germany,0,,unknown,unknown,950.0
Renault Megane,renault,2001,107840.0,70.0,95.0,Gasoline,7.2,170.0,Manual,Germany,0,,unknown,unknown,975.0
Fiat Scudo,fiat,2001,269870.0,51.0,69.0,Diesel,7.7,204.0,Manual,Germany,0,,unknown,unknown,989.0
Ford Fiesta,ford,2004,183897.0,51.0,69.0,Gasoline,6.9,147.0,Manual,Germany,0,,unknown,unknown,990.0
Lancia Ypsilon,lancia,2002,111000.0,44.0,60.0,Gasoline,5.7,136.0,Manual,Germany,0,,unknown,unknown,990.0
BMW 318,bmw,2002,229800.0,105.0,143.0,Gasoline,7.6,185.0,Manual,Germany,0,,unknown,unknown,998.0
Opel Astra,opel,2000,137000.0,55.0,75.0,Gasoline,7.2,173.0,Manual,Germany,0,,unknown,unknown,999.0
Volkswagen Polo,volkswagen,2002,134000.0,40.0,54.0,Gasoline,6.0,142.0,Manual,Germany,0,,unknown,unknown,999.0
Ford Ka/Ka+,ford,2007,94000.0,44.0,60.0,Gasoline,6.8,165.0,Manual,Germany,0,,unknown,unknown,999.0
